grop,circRNAs number
N-CIRI2,3210
N-CIRI2,3390
N-CIRI2,2464
N-CIRI2,2201
N-CIRI2,3681
N-CIRI2,4157
N-CIRI2,5200
N-CIRI2,2769
N-CIRI2,3168
N-CIRI2,2458
N-CIRI2,3626
N-CIRI2,3904
N-CIRI2,3130
N-CIRI2,3169
N-CIRI2,2319
N-CIRI2,3704
N-CIRI2,3134
N-CIRI2,2556
N-CIRI2,3701
N-CIRI2,3384
N-CIRI2,2404
N-CIRI2,2697
N-CIRI2,4173
N-CIRI2,2899
N-CIRI2,2606
N-CIRI2,4506
N-CIRI2,3236
N-CIRI2,3076
N-CIRI2,3144
N-CIRI2,4931
P-CIRI2,3047
P-CIRI2,3017
P-CIRI2,2522
P-CIRI2,2465
P-CIRI2,2981
P-CIRI2,4545
P-CIRI2,4292
P-CIRI2,3252
P-CIRI2,3312
P-CIRI2,3782
P-CIRI2,5248
P-CIRI2,3925
P-CIRI2,3643
P-CIRI2,5190
P-CIRI2,2617
P-CIRI2,2586
P-CIRI2,2638
P-CIRI2,2313
P-CIRI2,3456
P-CIRI2,2572
P-CIRI2,2998
P-CIRI2,2578
P-CIRI2,3950
P-CIRI2,2211
P-CIRI2,4162
P-CIRI2,3632
P-CIRI2,4159
P-CIRI2,3107
P-CIRI2,3096
P-CIRI2,2735
T-CIRI2,3359
T-CIRI2,1778
T-CIRI2,2497
T-CIRI2,2761
T-CIRI2,3385
T-CIRI2,2859
T-CIRI2,1347
T-CIRI2,2043
T-CIRI2,2931
T-CIRI2,2361
T-CIRI2,3164
T-CIRI2,2914
T-CIRI2,2268
T-CIRI2,3295
T-CIRI2,1939
T-CIRI2,1798
T-CIRI2,3370
T-CIRI2,1861
T-CIRI2,2534
T-CIRI2,2217
T-CIRI2,1513
T-CIRI2,2392
T-CIRI2,2227
T-CIRI2,1433
T-CIRI2,2433
T-CIRI2,2630
T-CIRI2,1922
T-CIRI2,3900
T-CIRI2,2721
T-CIRI2,2507
