ID,NT.log2FoldChange,GEO-log2FoldChange
hsa_circ_0000095,-1.050963829,0.075336685
hsa_circ_0000110,-1.038539854,-0.12620904
hsa_circ_0000111,-1.247425976,-0.386897916
hsa_circ_0000448,1.805510828,0.333390219
hsa_circ_0000467,1.400656051,0.590580257
hsa_circ_0000566,1.100149729,1.004217977
hsa_circ_0000690,-1.291106568,-0.990009911
hsa_circ_0001098,1.352366301,0.251351291
hsa_circ_0001461,1.46916993,0.134069105
hsa_circ_0001495,1.243133915,0.677490442
hsa_circ_0001663,1.030927495,-0.020413394
hsa_circ_0001686,1.265519846,1.566738459
hsa_circ_0001730,1.560119718,0.555986725
hsa_circ_0001821,2.889427895,1.314584518
hsa_circ_0001900,1.216267673,0.490199457
hsa_circ_0001944,6.11488379,5.386845776
hsa_circ_0003250,1.306278566,0.451124616
hsa_circ_0004865,1.532522924,0.360437316
hsa_circ_0004887,1.287889039,-0.116475752
hsa_circ_0005245,1.719790844,1.36441036
hsa_circ_0005720,-1.218439751,1.029130588
hsa_circ_0005887,-1.168481678,-0.054943528
hsa_circ_0006859,2.095235127,1.106930518
hsa_circ_0006877,1.925140967,0.445517468
hsa_circ_0008039,2.110270565,0.98284054
hsa_circ_0008500,1.223068122,0.878244887
hsa_circ_0008806,1.456838329,0.243470444
hsa_circ_0019223,-1.612890513,-1.288894138
hsa_circ_0033144,1.423964954,-0.712658206
hsa_circ_0038704,-1.127886005,0.253518452
hsa_circ_0055151,-1.253720943,0.129547962
hsa_circ_0073244,-2.867639348,-2.044027852
hsa_circ_0073762,1.693642803,1.231104257
hsa_circ_0077837,-2.050302258,-1.797504249
hsa_circ_0084188,1.104935813,0.420924502
hsa_circ_0087960,-1.726262626,-0.750629487
