"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","BATCH"
"MA2",-10.8928849046394,16.4111090041628,-8.44197732022716,6.06869309688314,-1.4769202276678,6.7555415115167,-2.48098129578537,-3.95291397323904,0.621786069281397,4.93567057034294,-4.83250925228329,-0.569380954292757,0.607452020240066,0.19150847542616,4.89018547877862e-15,"MCT"
"MA4",-14.6961675588955,8.34912255781714,-3.64629140224311,-2.31052772338388,-1.35711607847556,-4.20922548829415,4.3487041713283,11.8577764129419,3.24551695225891,1.65522695098105,1.71530264724852,-2.24205817697247,-2.11196672017987,0.364814861744662,-7.41073868937292e-15,"MCT"
"MA5",-11.9096318451926,7.37434219378206,-0.885729690380374,-2.78281399068487,1.20197917491784,-7.26249957261715,-0.654811919483391,-1.82968762828678,-9.64174508656454,-2.80075032233978,-0.113382491041961,6.84936583109293,1.16835209264893,-0.935903245157954,6.15826833971767e-16,"MCT"
"MA7",-11.9085837001554,6.23087498642631,1.96197780718939,-7.18095493889455,2.71829671780729,0.926438740740581,0.765069334487994,-6.98511865313192,5.70304739259747,-7.10457367155927,4.56617389744443,-3.89659093578542,1.50510996902733,0.947159734175234,4.15466272496445e-15,"MCT"
"SA25",-4.98409946720539,-5.26124167909319,9.55833232004049,6.84662756272968,1.07135266612298,-1.67702463675064,2.85308969757639,1.2477321724629,-0.623659218170943,1.7433401386149,-0.319272563017013,-2.4709983341096,10.7214737471113,1.14513363020763,2.44942954807925e-15,"HYPOXIA+sugen5416"
"SA28",-8.01042912543487,-6.64498253564699,9.05814612221864,1.13622364849487,0.6556847770333,2.50156082311728,2.9877675314046,-0.876900955284773,-3.15877944285671,-0.961364764542412,-4.38686488737802,-0.885797727515621,-6.3314204072269,7.32425517883137,9.22872889219661e-16,"HYPOXIA+sugen5416"
"SA30",-4.57049707051231,-2.45175789293342,5.58454762711781,11.1637263252562,-0.67654550707144,1.12612694842015,-7.28548237410361,1.9688546005829,2.26777837395478,-3.54201967365328,6.59426818203199,3.00423062153989,-3.53294004500249,-1.63943182192588,3.50587614494913e-15,"HYPOXIA+sugen5416"
"SA32",-6.90318844655971,-5.44626828728759,9.35899850113542,-2.32574659338527,0.382494992004022,2.57083359453602,4.10911290283825,-1.64611561967603,-0.591873536313969,2.20455172839436,-3.23684776837798,-1.54906605713791,-3.19518868969697,-8.79781830005177,4.8242659866915e-15,"HYPOXIA+sugen5416"
"HA17",-2.8223546751008,-11.074879914901,-10.2417688468829,-5.01144383145756,-0.522615825300752,10.4733286097098,1.4557852251006,2.28845235119846,-3.71998137461441,1.3670095162248,5.60506986168851,2.66046850660794,2.19069867442066,0.512236065267887,7.97972798949331e-16,"HYPOXIA"
"HA18",1.49124631767187,-12.3312948900025,-17.8290044667684,5.33650275487433,3.82783278656139,-6.41399512107425,1.37880282143558,-2.66532460080099,0.925955913601123,-2.10512333897312,-2.45205172258403,-3.32068202999246,-1.44535390437877,-0.878370350472187,-2.08166817117217e-17,"HYPOXIA"
"HA19",-4.71465400911228,-9.09331120741415,1.22163550296404,-7.55419653669346,-5.316266605245,-3.68317239827277,-8.89645498787176,-0.256490767775861,5.44892315541185,3.81244810135164,-4.19009766469466,2.77975875883032,1.45049169126263,1.03369314343319,6.83481049534862e-16,"HYPOXIA"
"N.1",19.9364798595057,4.33760996454108,1.96686384526253,-3.61170458119256,6.20354907457322,1.4203884321672,-7.95317357523563,4.20050502943783,-5.06221664298798,-0.972005549755879,-1.30208131817356,-6.65446808645202,0.103038219287185,-0.416353822592429,-4.45823933326039e-15,"NC"
"N.2",21.4188531960179,3.01755274785711,-1.02358384989228,0.783431925173995,-12.6585133800288,1.09999251031369,3.18073878410668,0.81234157766244,-0.295212565731796,-6.9336722761814,-2.70431532210367,0.0408492038319117,0.974245455772763,-0.5409381279313,-3.30985239216375e-15,"NC"
"N.3",17.5221403242031,2.88107555329325,1.96132547084929,-0.264793811006426,-3.08313556520318,-4.84861504909845,2.3689224083265,-5.32428342846691,-1.0720184012623,8.54727119637356,7.42534578111389,-1.52975798443085,-2.40344250601258,1.22553822995749,3.5006719745212e-15,"NC"
"N.4",21.0437711054096,3.70204939939897,1.39652837961655,-0.293023306713627,9.02992299997254,1.22032109558598,3.82291127587487,1.16117348237585,5.95247841139713,0.153991394721893,-2.36873737987318,7.78412736478613,0.299450402726694,0.464476349087897,-2.51881848711832e-15,"NC"
